服务,级别,错误,消息,组件,原因
UserService,ERROR,THIRD_BIND_FAIL,第三方账号绑定失败，平台: qq,ThirdBinder,openid已绑定
CartService,INFO,CART_SHARE,购物车分享成功，用户ID: 10081,CartSharer,分享码: ABCD1234
EmailService,WARN,LIST_CLEAN,邮件列表清理，无效邮箱: 300,ListCleaner,硬反弹超过3次
GatewayService,ERROR,BODY_TOO_LARGE,请求体过大，大小: 12MB,BodySizeLimiter,限制10MB
LogService,INFO,LOG_REMOTE_SEND,远程日志发送成功，节点: node5,RemoteLogSender,实时备份
SearchService,WARN,THROTTLE,搜索限流触发，IP: 192.168.1.104,SearchThrottler,超过阈值
AarService,ERROR,LOCKOUT,账号锁定，用户ID: 10082,LockoutManager,连续10次错误
AbaService,INFO,COUPON_SEND,优惠券发放，用户ID: 10083,CouponManager,面值10元
PayService,ERROR,SETTLE_FAIL,结算失败，渠道: wxpay,SettleManager,对账不平
StockService,WARN,STOCK_LESS,库存少货，商品ID: 30017,StockLessReporter,实际比系统少2件
OrderService,ERROR,ORDER_DOUBLE,重复订单，用户ID: 10084,DuplicateChecker,同一秒提交2次
NotiService,INFO,READ_RECEIPT,已读回执，用户ID: 10085,ReadReceiptManager,消息已读
UserService,WARN,NAME_SENSITIVE,昵称敏感，用户ID: 10086,NameFilter,含敏感词
CartService,ERROR,CART_DELETED,购物车被删除，用户ID: 10087,CartDeleter,用户注销
EmailService,INFO,A_B_TEST,邮件A/B测试，组: 50/50,AbTestManager,主题行不同
GatewayService,WARN,REGION_BLOCK,地区封禁，IP: 203.192.1.1,RegionBlocker,高风险地区
LogService,ERROR,LOG_TAMPER,日志被篡改，校验失败,LogTamperDetector,哈希不匹配
SearchService,INFO,AUTO_COMPLETE,"自动完成触发，关键词: ""跑步""",AutoCompleteEngine,返回10条
AuthService,WARN,SESSION_FIXATE,会话固定攻击，IP: 192.168.1.105,SessionManager,已重置session
PayService,INFO,PAY_QR_CREATE,支付二维码生成，订单ID: 20020,QrCodeManager,有效期5分钟
StockService,ERROR,STOCK_FREEZE,库存冻结失败，商品ID: 30018,FreezeManager,冻结记录冲突
OrderService,WARN,ORDER_STATUS_LAG,订单状态滞后，订单ID: 20021,StatusSyncManager,与物流状态不同步
NotiService,ERROR,TEMPLATE_VAR_FAIL,模板变量缺失，变量: {{user}},TemplateVarManager,字段为空
UserService,INFO,LEVEL_UP,用户等级提升，用户ID: 10088,LevelManager,当前: VIP2
CartService,WARN,CART_CAMPAIGN_END,活动结束，优惠失效，用户ID: 10089,CampaignEnder,限时购结束
EmailService,ERROR,BLACKLIST,发送被拒，邮箱在黑名单: user4@example.com,BlacklistChecker,用户投诉过
GatewayService,INFO,SSL_RENEW,SSL证书自动续期成功,CertRenewer,新有效期: 1年
LogService,WARN,LOG_BUFFER_FULL,日志缓冲区满，延迟写入,BufferMonitor,瞬时峰值
SearchService,ERROR,QUERY_SYNTAX,"查询语法错误，关键词: ""AND OR""",SyntaxChecker,逻辑符冲突
AarService,INFO,BIOMETRIC_PASS,生物识别通过，用户ID: 10090,BiometricManager,指纹验证成功
AbaService,WARN,BALANCE_QUERY_FAIL,余额查询超时，用户ID: 10091,BalanceQuerier,账户服务响应慢
PayService,ERROR,PAY_SIGN_REPEAT,支付签名重复，订单ID: 20022,SignRepeater,重放攻击
StockService,INFO,STOCK_ALERT_SET,库存预警设置，商品ID: 30019,AlertManager,阈值: 10件
OrderService,ERROR,ORDER_REFUND_DOUBLE,重复退款，订单ID: 20023,RefundChecker,已退金额超应付
NotiService,WARN,CHANNEL_PRIORITY,通道降级，短信→邮件，用户ID: 10092,PrioritySwitcher,短信通道故障
UserService,ERROR,AVATAR_VIOLATE,头像违规，用户ID: 10093,AvatarChecker,含违法图片
CartService,INFO,CART_IMPORT,购物车导入成功，用户ID: 10094,CartImporter,从Excel导入20件
EmailService,WARN,CHARSET_ERR,邮件字符集错误，预期: UTF-8,CharsetManager,实际: ISO-8859-1
GatewayService,ERROR,VERSION_FAIL,版本不兼容，Header: API-Version=1.0,VersionManager,最低要求: 2.0
LogService,INFO,LOG_ANALYZE,日志分析完成，发现异常: 15条,LogAnalyzer,生成报告
SearchService,WARN,INDEX_OPTIMIZE,索引优化中，暂停写入,IndexOptimizer,预计10分钟
AuthService,ERROR,OAUTH_FAIL,OAuth授权失败，平台: weibo,OAuthManager,授权码失效
PayService,INFO,PAY_SPLIT,支付分账成功，订单ID: 20024,SplitManager,分账给3个子商户
StockService,WARN,STOCK_DIFF,库存差异，系统: 98，实际: 95,StockAuditor,丢失3件
OrderService,INFO,ORDER_COMMENT,订单评价，用户ID: 10095,CommentManager,5星好评
NotiService,ERROR,PUSH_TOKEN_EXPIRE,推送令牌过期，用户ID: 10096,PushTokenManager,需重新获取
UserService,WARN,PHONE_CHANGE,手机号更换，原号: 138****1234,PhoneChanger,新号: 139****5678
CartService,ERROR,CART_CHECKOUT_FAIL,结算失败，商品失效，用户ID: 10097,CheckoutManager,商品下架
EmailService,INFO,TEMPLATE_CLONE,邮件模板克隆成功，源ID: 60003,TemplateCloner,新ID: 60004
GatewayService,WARN,DNS_SLOW,DNS解析慢，延迟: 1.2秒,DnsMonitor,运营商DNS故障
LogService,ERROR,LOG_PERMISSION,日志文件权限不足，路径: /opt/logs,PermissionChecker,需chmod 644
SearchService,INFO,SPELL_FIX,"搜索纠错，原词: ""蓝芽""",SpellFixer,"纠正为""蓝牙"""
AarService,WARN,LOGIN_DEVICE,新设备登录，用户ID: 10098,DeviceManager,设备名: iPhone 15
AbaService,ERROR,COUPON_EXPIRE,优惠券已过期，用户ID: 10099,CouponChecker,有效期至昨日
PayService,WARN,PAY_TIMEOUT_CLOSE,支付超时关闭，订单ID: 20025,TimeoutCloser,超过30分钟未支付
StockService,INFO,STOCK_RETURN,退货入库，商品ID: 30020,ReturnManager,数量: 1
OrderService,ERROR,ORDER_HOLD,订单被挂起，订单ID: 20026,HoldManager,涉嫌欺诈
NotiService,INFO,STATS_SEND,日报发送，用户数: 5000,StatsSender,昨日数据
UserService,WARN,EMAIL_UNVERIFIED,邮箱未验证，用户ID: 10100,EmailVerifier,限制部分功能
CartService,ERROR,CART_SYNC_FAIL,购物车同步失败，用户ID: 10101,SyncManager,网络中断
EmailService,WARN,SUBJECT_LONG,邮件主题过长，长度: 120字,SubjectLimiter,限制50字
GatewayService,INFO,BACKEND_RECOVER,后端恢复，服务: PayService,RecoveryManager,故障已解除
LogService,ERROR,LOG_CHAIN_BREAK,日志链断裂，缺失上一段,ChainValidator,节点重启
SearchService,WARN,QUERY_EMPTY,搜索词为空，IP: 192.168.1.106,EmptyQueryFilter,拒绝查询
AuthService,INFO,PERMISSION_GRANT,权限授予，角色: ADMIN，用户ID: 10102,PermissionGranter,手动提升
PayService,ERROR,PAY_CHANNEL_REJECT,渠道拒付，订单ID: 20027,RejectManager,风控拒绝
StockService,WARN,STOCK_LOW_SOON,库存即将不足，商品ID: 30021,Predictor,预计3天内售完
OrderService,INFO,ORDER_WEIGHT,订单称重，重量: 1.2kg,WeightManager,自动计算运费
NotiService,ERROR,WEBHOOK_TIMEOUT,Webhook超时，URL: https://notify.example.com,WebhookTimer,5秒未响应
UserService,WARN,NAME_TOO_LONG,昵称过长，用户ID: 10103,NameLengthChecker,限制20字符
CartService,INFO,CART_SHARE_EXPIRE,分享链接过期，用户ID: 10104,ShareExpirer,超过24小时
EmailService,ERROR,SMTP_DISCONNECT,SMTP连接被断开,SmtpKeeper,服务器主动关闭
GatewayService,WARN,RATE_ADJUST,限流阈值调整，原: 100→新: 150,RateAdjuster,压力缓解
LogService,INFO,LOG_EXPORT,日志导出成功，条数: 50000,LogExporter,CSV格式
SearchService,ERROR,SORT_FAIL,排序字段不存在，字段: discount,SortValidator,未索引
AarService,WARN,PASSWORD_SAME,新密码与旧密码相同，用户ID: 10105,PasswordSamenessChecker,拒绝修改
AbaService,INFO,AUTO_TOPUP,自动充值成功，用户ID: 10106,AutoTopupManager,金额: 200元
PayService,WARN,PAY_METHOD_EXPIRE,支付方式即将过期，卡尾号: 1234,CardExpireReminder,剩余30天
StockService,ERROR,STOCK_BATCH_LOST,批量库存丢失，商品数: 30,BatchStockTracker,系统异常回滚
OrderService,WARN,ORDER_GIFT_STOCK,赠品库存不足，订单ID: 20028,GiftStockChecker,赠品下架
NotiService,INFO,NOTI_SUMMARY,通知汇总发送，用户ID: 10107,SummarySender,每日汇总
UserService,ERROR,INVITE_CODE_INVALID,邀请码无效，用户ID: 10108,InviteCodeValidator,码已作废
CartService,WARN,CART_ITEM_NUM_CHANGE,商品数量变更，原: 3→新: 5,CartItemUpdater,用户调整
EmailService,INFO,TEMPLATE_PREVIEW,邮件模板预览成功，ID: 60005,TemplatePreviewer,无错
GatewayService,ERROR,BACKEND_NOT_FOUND,后端服务未发现，服务名: RewardService,ServiceFinder,注册表无记录
LogService,WARN,LOG_DEDUP,重复日志过滤，条数: 120,LogDeduper,节省空间
SearchService,INFO,CLICK_LOG,"搜索点击日志记录，关键词: ""键盘""",ClickLogger,位置: 第3条
AuthService,ERROR,TOKEN_REVOKE,令牌吊销失败，令牌ID: 70002,RevokeManager,已过期无法吊销
PayService,INFO,PAY_REFUND_PART,部分退款成功，订单ID: 20029,PartialRefundManager,金额: 50元
StockService,WARN,STOCK_WARNING_OFF,关闭库存预警，商品ID: 30022,WarningOffManager,运营手动关闭
OrderService,ERROR,ORDER_FROZEN,订单被冻结，订单ID: 20030,FreezeManager,投诉纠纷
NotiService,WARN,NOTI_FREQ,通知频率过高，用户ID: 10109,FreqLimiter,1小时超10条
UserService,INFO,ADDRESS_ADD,收货地址添加，用户ID: 10110,AddressManager,地址ID: 80003
CartService,ERROR,CART_CAMPAIGN_MISMATCH,活动商品不符，用户ID: 10111,CampaignMatcher,非活动商品
EmailService,WARN,HTML_TAG_ERR,HTML邮件标签未闭合,HtmlValidator,少
GatewayService,INFO,CERT_REVOKE_CHECK,证书吊销检查完成，状态: 正常,CertRevokeChecker,OCSP正常
LogService,ERROR,LOG_READER_FAIL,日志读取器初始化失败,LogReader,配置缺失
SearchService,WARN,HIGHLIGHT_FAIL,高亮失败，字段: title,Highlighter,映射缺失
AarService,INFO,BIOMETRIC_ENROLL,生物特征注册成功，用户ID: 10112,BiometricEnroller,指纹: 右手拇指
AbaService,ERROR,BALANCE_HOLD_RELEASE,余额解冻失败，用户ID: 10113,HoldReleaser,争议未解决
PayService,WARN,PAY_FEE_DEDUCT,手续费扣除，订单ID: 20031,FeeDeductor,金额: 1.5元
StockService,INFO,STOCK_TAKE,盘点完成，商品ID: 30023,StockTaker,盈亏: 0
OrderService,WARN,ORDER_DELIVER_DELAY,配送延迟，订单ID: 20032,DeliverDelayer,天气原因
NotiService,ERROR,SMS_PREFIX_FAIL,短信前缀未审批，前缀: 【测试】,PrefixManager,运营商拒绝
UserService,WARN,GENDER_MISSING,性别未填写，用户ID: 10114,GenderCollector,完整度降低
CartService,INFO,CART_SORT,购物车排序完成，用户ID: 10115,CartSorter,按加入时间
EmailService,ERROR,ATTACH_SIZE,附件大小超限，大小: 30MB,AttachSizeChecker,限制20MB
GatewayService,WARN,DNS_CACHE_MISS,DNS缓存未命中，域名: api.pay.com,DnsCacheManager,首次解析
LogService,INFO,LOG_METRIC,日志指标上报，QPS: 1200,MetricsSender,实时
SearchService,ERROR,FILTER_ERR,过滤器语法错误，过滤: price:abc,FilterParser,值类型不符
AuthService,WARN,LOGIN_TIME,登录时间异常，用户ID: 10116,TimeAnomalyDetector,凌晨3点异常
StockService,ERROR,STOCK_UNIT_ERROR,库存单位错误，商品ID: 30024,UnitManager,期望: 件，实际: 盒
OrderService,INFO,ORDER_WEIGHT_ERROR,称重异常，订单ID: 20033,WeightChecker,差异: ±500g
NotiService,WARN,NOTI_SOUND_OFF,通知声音关闭，用户ID: 10117,SoundToggler,用户设置
UserService,ERROR,BIRTHDAY_FAIL,生日格式错误，用户ID: 10118,BirthdayValidator,格式: 2025-13-45
CartService,WARN,CART_ITEM_INVALID,购物车商品失效，商品ID: 30025,ItemValidator,已售罄
EmailService,INFO,TEMPLATE_LANG,邮件模板语言切换，语言: en,LangSwitcher,用户偏好
GatewayService,ERROR,BODY_PARSE_FAIL,请求体解析失败，内容: 非法JSON,BodyParser,语法错误
LogService,WARN,LOG_SKIPPED,日志被采样跳过，比例: 10%,Sampler,减少体积
SearchService,INFO,QUERY_EXPAND,"查询扩展触发，原词: ""手机""",QueryExpander,"扩展: ""智能手机"""
AarService,ERROR,ACCOUNT_DELETE,账号注销失败，用户ID: 10119,Deleter,存在未结订单
AbaService,WARN,COUPON_USED,优惠券已使用，用户ID: 10120,CouponUser,不能重复用
PayService,ERROR,PAY_QR_EXPIRE,二维码过期，订单ID: 20034,QrExpireManager,超过5分钟
StockService,WARN,STOCK_NEGATIVE,库存为负，商品ID: 30026,NegativeStockChecker,需人工核查
OrderService,INFO,ORDER_INSURE,订单投保成功，订单ID: 20035,InsureManager,保费: 2元
NotiService,ERROR,PUSH_CERT_EXPIRE,推送证书过期，平台: iOS,CertWatcher,已过期3天
UserService,WARN,PROFILE_INCOMPLETE,资料完整度低于60%，用户ID: 10121,CompletenessChecker,提示补充
CartService,INFO,CART_COPIED,购物车复制成功，用户ID: 10122,CartCopier,分享给新用户
EmailService,ERROR,SMTP_AUTH_FAIL,SMTP认证失败，用户名: noreply,SmtpAuthManager,密码错误
GatewayService,WARN,HEADER_TOO_LONG,请求头过长，头: User-Agent,HeaderLengthChecker,限制512字符
LogService,INFO,LOG_REMOTE_ACK,远程日志确认收到，节点: node6,AckManager,无丢失
SearchService,WARN,QUERY_TRUNCATE,查询被截断，长度: 200字,QueryTruncator,限制100字
AuthService,INFO,PASSWORD_STRENGTH,密码强度达标，用户ID: 10123,StrengthChecker,等级: 强
PayService,WARN,REFUND_FEE_MISSING,退款手续费未配置，渠道: alipay,RefundFeeManager,使用默认
StockService,ERROR,STOCK_LOCATE_FAIL,货位定位失败，商品ID: 30027,Locator,条码模糊
OrderService,WARN,ORDER_PRIORITY_DROP,订单优先级降低，订单ID: 20036,PriorityManager,库存不足
NotiService,INFO,BATCH_SEND,批量通知发送，数量: 2000,BatchSender,营销短信
UserService,ERROR,INVITE_SELF,用户尝试邀请自己，用户ID: 10124,InviteValidator,拒绝
CartService,WARN,CART_ITEM_NUM_ZERO,商品数量设为0，商品ID: 30028,ZeroQuantityManager,自动移除
EmailService,WARN,PREVIEW_FAIL,邮件预览失败，模板ID: 60006,PreviewManager,变量为空
GatewayService,INFO,ROUTE_CACHE_HIT,路由缓存命中，路径: /api/stock,RouteCacheManager,加速访问
LogService,ERROR,LOG_INJECTION_DETECT,日志注入攻击检测，IP: 192.168.1.107,InjectionDetector,含SQL关键字
SearchService,INFO,QUERY_LOG_ANALYZE,"搜索日志分析，热搜: ""耳机""",LogAnalyzer,排名提升
AarService,WARN,WEAK_PASSWORD_LIST,密码在弱口令字典，用户ID: 10125,WeakPasswordChecker,强制修改
AbaService,INFO,BALANCE_REPORT,余额日报生成，用户数: 12000,ReportGenerator,已邮件发送
PayService,ERROR,PAY_CHANNEL_TIMEOUT,渠道超时，通道: wxpay,ChannelTimeoutManager,超过10秒
StockService,WARN,STOCK_EXPIRE_SOON,商品即将过期，商品ID: 30029,ExpirePredictor,剩余7天
OrderService,INFO,ORDER_TRACK,物流跟踪更新，订单ID: 20037,TrackUpdater,到达配送站
NotiService,ERROR,BADGE_FAIL,应用角标更新失败，用户ID: 10126,BadgeManager,推送通道不可用
UserService,WARN,THIRD_UNBIND,第三方解绑，平台: wechat，用户ID: 10127,Unbinder,用户主动
CartService,INFO,CART_TOTAL,购物车合计计算，用户ID: 10128,TotalCalculator,优惠后: ￥199
EmailService,ERROR,TEMPLATE_LOOP,邮件模板循环引用，ID: 60007,LoopDetector,拒绝渲染
GatewayService,WARN,BACKEND_QUEUE,后端队列积压，服务: EmailService,QueueMonitor,积压5000
LogService,INFO,LOG_AGE_ROTATE,日志按天轮转，日期: 2025-09-21,AgeRotator,正常
SearchService,ERROR,CLUSTER_SPLIT,搜索集群脑裂，节点: node4/node5,SplitBrainDetector,网络分区
AuthService,WARN,LOGIN_FAST,登录频率过快，用户ID: 10129,FastLoginDetector,1分钟5次
PayService,INFO,PAY_SUCCESS_PAGE,支付成功页展示，订单ID: 20038,SuccessPageManager,转化跟踪
StockService,ERROR,STOCK_BATCH_DUPLICATE,批量入库重复，批次号: B2025092101,BatchDuplicateChecker,拒绝重复
OrderService,WARN,ORDER_BOX_CHANGE,包装变更，订单ID: 20039,BoxManager,原箱缺货
NotiService,INFO,INBOX_MARK_READ,全部已读，用户ID: 10130,MarkReadManager,一键已读
UserService,ERROR,SIGN_UP_LIMIT_IP,注册限流，IP: 192.168.1.108,SignupLimiter,24h超50次
CartService,WARN,CART_DISCOUNT_CHANGE,优惠变更，用户ID: 10131,DiscountChanger,活动规则调整
EmailService,INFO,TEMPLATE_PUBLISH,模板发布成功，ID: 60008,TemplatePublisher,上线
GatewayService,ERROR,METHOD_NOT_ALLOWED,方法不允许，Method: DELETE /api/login,MethodChecker,返回405
LogService,WARN,LOG_BACKLOG,日志积压，未处理: 8000条,BacklogMonitor,消费慢
SearchService,INFO,QUERY_BOOST,查询 boost 设置，字段: sales,BoostManager,系数: 1.5
AarService,ERROR,ACCOUNT_LOCK_EXPIRE,账号锁定期已过，用户ID: 10132,LockExpireManager,自动解锁
AbaService,WARN,COUPON_MIN_SPEND,未达到优惠券门槛，用户ID: 10133,MinSpendChecker,差: ￥20
PayService,INFO,PAY_RECEIPT,支付回执生成，订单ID: 20040,ReceiptGenerator,电子回执
StockService,WARN,STOCK_ADJUST_AUDIT,库存调整待审计，商品ID: 30030,AdjustAuditor,金额>1000
OrderService,ERROR,ORDER_CANCELLATION_FEE,取消扣费，订单ID: 20041,CancellationFeeManager,扣: ￥10
NotiService,WARN,NOTI_LANGUAGE,通知语言切换，用户ID: 10134,LanguageSwitcher,中文→英文
UserService,INFO,POINTS_EXPIRE,积分即将过期，用户ID: 10135,PointsExpireReminder,数量: 300
CartService,ERROR,CART_CAMPAIGN_END,活动已结束，用户ID: 10136,CampaignEndChecker,限时抢光
EmailService,WARN,CLICK_TRACK_FAIL,点击跟踪失败，链接: http://example.com,ClickTracker,域名DNS失效
GatewayService,INFO,CERT_DEPLOY,证书部署完成，域名: *.example.com,CertDeployer,无中断
LogService,ERROR,LOG_CORRUPT_BLOCK,日志块损坏，偏移: 4096,BlockCorruptChecker,磁盘坏道
SearchService,WARN,FACET_LIMIT,分面返回限制，实际: 200，限制: 100,FacetLimiter,截断
AuthService,INFO,SSO_LOGOUT,单点登出成功，用户ID: 10137,SsoLogoutManager,全端退出
PayService,ERROR,PAY_REFUND_AUDIT,退款待审核，订单ID: 20042,RefundAuditor,金额>500
StockService,INFO,STOCK_SNAPSHOT,库存快照生成，时间: 2025-09-21 00:00,SnapshotManager,备份
OrderService,WARN,ORDER_DELIVER_TIME,配送时间窗口过期，订单ID: 20043,DeliverTimeManager,需重新预约
NotiService,ERROR,PUSH_BADGE_FAIL,角标数字更新失败，用户ID: 10138,BadgeUpdater,APNS返回错误
UserService,WARN,PROFILE_PHOTO_SIZE,头像尺寸过大，用户ID: 10139,PhotoSizeChecker,限制2MB
CartService,INFO,CART_WISH_MOVE,心愿单移入购物车，用户ID: 10140,WishMover,数量: 5
EmailService,ERROR,TEMPLATE_PARAM_MISS,模板参数缺失，参数: orderId,ParamValidator,渲染中断
GatewayService,WARN,BACKEND_SLOW_QUEUE,后端慢请求队列，数量: 100,SlowQueueManager,超时>3s
LogService,INFO,LOG_REMOTE_PULL,远程日志拉取完成，条数: 3000,RemotePuller,无丢失
SearchService,ERROR,QUERY_REGEX_ERR,正则查询错误，表达式: .*?,RegexChecker,贪婪模式冲突
AarService,WARN,MFA_NOT_BIND,未绑定多因子，用户ID: 10141,MfaBinder,提示开启
AbaService,INFO,BALANCE_ADJUST,余额手工调整，用户ID: 10142,ManualAdjuster,原因: 退差价
PayService,WARN,PAY_CHANNEL_LIMIT,渠道限额，剩余: ￥2000,ChannelLimitManager,今日上限
StockService,ERROR,STOCK_LOC_EMPTY,货位空，商品ID: 30031,Locator,实物缺失
OrderService,INFO,ORDER_PACKAGE,包裹打包完成，订单ID: 20044,PackageManager,面单打印
NotiService,WARN,NOTI_REDUNDANT,重复通知过滤，用户ID: 10143,RedundantFilter,内容相同
Alpha1,ERROR,AUTH_TOKEN_REVOK,令牌已吊销，用户:10035,AuthManager,用户手动登出触发吊销
Alpha2,WARN,CACHE_HIT_DROP,命中率 99%→60%,CacheMonitor,误刷冷数据导致
Alpha3,FATAL,DB_REPLICA_LAG,从库延迟 120s,LagWatcher,大事务未提交
Alpha4,ERROR,FILE_QUARANTINE,文件被隔离，invoice.exe,AVScanner,检出 Trojan
Alpha5,WARN,CERT_EXPIRE_7D,证书 7 天后过期,CertAlert,续签流程未启动
Alpha6,ERROR,LOGIN_BRUTE,5 分钟 80 次密码错误,BruteBlocker,IP 已封 1h
Alpha7,FATAL,KAFKA_LAG_50W,消费 Lag>50 万条,LagMonitor,下游 GC 停顿 30s
Alpha8,WARN,INDEX_STALE_3D,索引 3 天未更新,IndexUpdater,增量任务失败
Alpha9,ERROR,YAML_TAB_INVALID,YAML 含 Tab 字符,YamlLint,缩进必须用空格
Alpha10,FATAL,NATIVE_LEAK_800M,原生内存泄漏 800 MB,LeakTracer,malloc 未 free
Alpha11,WARN,PROM_CARDINALITY,标签基数 50 万,PromMonitor,导致 TSDB OOM
Alpha12,ERROR,PAY_DUP,重复支付，订单:ORD22001,PayChecker,并发幂等失效
Alpha13,FATAL,SPLIT_BRAIN_4_2,集群脑裂 4→2 节点,BrainDetector,网络分区
Alpha14,WARN,EVICT_SLOW_6S,缓存淘汰耗时 6 s,EvictMonitor,数据量 300 万
